iso_alpha3,year,hisi_score,cluster_raw,cluster_label
AUS,2014,64.05388831094699,0,The Wins
AUS,2015,65.79110973108332,0,The Wins
AUS,2016,64.8656798441464,0,The Wins
AUS,2017,65.4079612575403,0,The Wins
AUS,2018,63.178491355488134,0,The Wins
AUS,2019,66.04117257658335,0,The Wins
AUS,2020,66.33130168269712,0,The Wins
AUS,2021,63.983733517059115,0,The Wins
AUS,2022,62.570101814130275,0,The Wins
AUS,2023,65.08257977218236,0,The Wins
AUS,2024,68.35974392356283,0,The Wins
AUS,2025,68.38408582265401,0,The Wins
AUT,2000,56.42751867478463,0,The Wins
AUT,2001,83.25147901305515,0,The Wins
AUT,2002,82.88912817833939,0,The Wins
AUT,2003,81.07739898926495,0,The Wins
AUT,2004,80.14769303128041,0,The Wins
AUT,2005,82.73349214528847,0,The Wins
AUT,2006,78.31505138892716,0,The Wins
AUT,2007,74.18478501807286,0,The Wins
AUT,2008,75.36513504854659,0,The Wins
AUT,2009,73.62302731298193,0,The Wins
AUT,2010,74.48497926556627,0,The Wins
AUT,2011,71.68555170284652,0,The Wins
AUT,2012,72.60996763100299,0,The Wins
AUT,2013,71.84097567700046,0,The Wins
AUT,2014,76.11333118240036,0,The Wins
AUT,2015,74.07879982910008,0,The Wins
AUT,2016,74.64295558527793,0,The Wins
AUT,2017,76.63369866981392,0,The Wins
AUT,2018,71.21125610017404,0,The Wins
AUT,2019,72.21323649720324,0,The Wins
AUT,2020,76.13232180866163,0,The Wins
AUT,2021,74.61316960085294,0,The Wins
AUT,2022,73.21849915701176,0,The Wins
AUT,2023,71.20796113052812,0,The Wins
AUT,2024,75.71482715367318,0,The Wins
AUT,2025,75.72137087560434,0,The Wins
AZE,2000,34.7023774538194,2,The Falls
AZE,2001,53.08126445557173,2,The Falls
AZE,2002,76.94393505759581,2,The Falls
AZE,2003,72.24675984528226,2,The Falls
AZE,2004,73.06876901152292,2,The Falls
AZE,2005,64.79836166458524,2,The Falls
AZE,2006,47.967704447749476,2,The Falls
AZE,2007,42.08111985801743,2,The Falls
AZE,2008,39.32882817832913,2,The Falls
AZE,2009,35.49833327315344,2,The Falls
AZE,2010,30.104124110277734,2,The Falls
AZE,2011,28.237539001419144,2,The Falls
AZE,2012,33.65519052604513,2,The Falls
AZE,2013,34.28940708745501,2,The Falls
AZE,2014,35.23742781698472,2,The Falls
AZE,2015,44.71361361995136,2,The Falls
AZE,2016,51.07989242354972,2,The Falls
AZE,2017,38.097945555234894,2,The Falls
AZE,2018,39.52790356901929,2,The Falls
AZE,2019,40.21409608949216,2,The Falls
AZE,2020,43.48898122519865,2,The Falls
AZE,2021,38.66590910450592,2,The Falls
AZE,2022,45.741226901496454,2,The Falls
AZE,2023,44.09612262088525,2,The Falls
AZE,2024,43.17764552769244,2,The Falls
AZE,2025,43.09590646975005,2,The Falls
BDI,2000,37.33029702156577,2,The Falls
BDI,2001,39.11641971900826,2,The Falls
BDI,2002,38.78479746297538,2,The Falls
BDI,2003,38.50064505721218,2,The Falls
BDI,2004,41.246975671146814,2,The Falls
BDI,2005,42.642467264149914,2,The Falls
BDI,2006,42.088377792086504,2,The Falls
BDI,2007,54.89069134934786,2,The Falls
BDI,2008,46.03224324650405,2,The Falls
BDI,2009,50.10673756264137,2,The Falls
BDI,2010,44.01258346546666,2,The Falls
