iso_alpha3,year,comp_A_raw,comp_B_raw,comp_C_raw,comp_A_norm,comp_B_norm,comp_C_norm,hisi_raw,hisi_score,ai_exposure_proxy,digital_human_capital,social_buffer_index,tech_vulnerability_index,economic_resilience,gini_index,labor_income_share_pct,cluster_raw,cluster_label
IRL,2016,1.1388719512195122,16.29198909386414,28.23198925525997,0.3811731705538613,0.24273510670811993,0.529687485822386,0.22035416594912013,39.480274233292924,55.1867497658485,68.32,16.29198909386414,48.84281213326515,5.223814552400287,32.8,37.355,0,The Wins
IRL,2017,1.1403821656050956,15.31446289909485,28.434963158389902,0.38179671237075097,0.225665411399322,0.5336900037079744,0.21535519487940558,38.69823972514766,56.59789692964984,71.06,15.31446289909485,49.75968242471262,5.245826546244982,31.4,35.808,0,The Wins
IRL,2018,1.1573202614379086,15.01619600989685,28.03139510641638,0.3887901638641713,0.2204570344304424,0.525731895196645,0.21902614292686126,39.272519514064854,56.66624990942464,73.07,15.01619600989685,50.53246835422888,5.256442784389535,30.6,35.414,0,The Wins
IRL,2019,1.1477227722772279,14.734665150206911,28.193044430836967,0.38482752393307457,0.21554090428411377,0.5289195183452844,0.21489732018589364,38.62661022264821,57.72425061244393,72.5,14.734665150206911,51.15909841753885,5.363906943344421,30.3,34.776,0,The Wins
IRL,2020,1.1494178082191782,15.57692194020752,27.997839017270607,0.3855273754250392,0.23024850685682008,0.525070190194646,0.21998000284661134,39.42174049629867,60.71365563369205,74.04,15.57692194020752,53.885433639193245,5.398948511818327,29.2,33.563,0,The Wins
IRL,2021,1.0337755102040818,14.28488087217468,27.87320242179757,0.3377806387352201,0.207686710072459,0.5226124348138455,0.18606262823647213,34.11573712062128,59.86164194716597,75.63,14.28488087217468,53.43729053339612,5.379903710586484,29.4,30.393,0,The Wins
IRL,2022,0.9780936454849499,13.53176856217468,29.443879869951296,0.31479054446369803,0.19453576052881114,0.5535852075781408,0.164789362848074,30.787766743787387,62.111942371828526,77.95,13.53176856217468,52.59546112132882,5.396410259061464,29.9,29.245,0,The Wins
IRL,2023,1.1625862068965518,14.516319032174678,29.58535606739401,0.3909643831209001,0.21172811468664554,0.5563750293331424,0.21373303198988486,38.444470031395404,63.4488079704847,72.99,14.516319032174678,53.371297249340586,5.408236936264611,29.0,33.715,0,The Wins
IRL,2024,1.0886551724137932,14.79504227217468,29.579510052056378,0.3604395172435946,0.21659521779624957,0.5562597495824578,0.19731148437147575,35.87549798981886,63.53459265562647,77.78,14.79504227217468,53.44345683872597,5.449926569136285,29.0,31.571,0,The Wins
IRL,2025,1.0078620689655173,16.356167789814325,29.566043593317264,0.32708141987861006,0.24385580382196476,0.5559941994741548,0.18559070914544396,34.04191052529001,63.72567014987439,78.75,16.356167789814325,53.60418568563999,5.449926569136285,29.0,29.228,0,The Wins
IRN,2000,0.8589003083247688,10.53399479527466,14.165982620178701,0.26557764414737034,0.14218822746063794,0.25231466957577314,0.16150289876261578,30.27363527777849,16.868576644842364,36.346,10.53399479527466,16.02147046289167,3.134201554653681,38.92,33.4284,2,The Falls
IRN,2001,1.064623205741627,11.20707129896973,14.21458633585462,0.35051712721391326,0.15394158087363524,0.2532731043218123,0.21426816616632688,38.52818593745474,16.940169497390922,36.346,11.20707129896973,16.089468065570944,3.190286650722205,33.44,35.601,2,The Falls
IRN,2002,0.8165366972477064,10.96318638055054,14.629735304980068,0.24808643013619297,0.1496828292717826,0.26145958124561897,0.15219384334815678,28.81733507703354,17.560686624284045,37.364,10.96318638055054,16.690414116557776,3.2151861238852724,43.6,35.601,2,The Falls
IRN,2003,0.8165366972477064,11.27205824842407,15.233578846298851,0.24808643013619297,0.15507639182005253,0.2733669966175264,0.15212900041579147,28.80719110740223,18.42721677920096,38.896,11.27205824842407,17.33109221630697,3.283862372206346,43.6,35.601,2,The Falls
