iso_alpha3,year,education_expenditure_pct_gdp,health_expenditure_pct_gdp,social_protection_spending,social_safety_net_coverage
SAS,2021,3.29945958568872,3.30046062379793,1.27701345810837,72.5427322387695
SAS,2022,3.09202235990416,3.3087387158875,1.26894019509157,
SAS,2023,2.16213826344701,3.26234217340341,1.21582647127122,
SAS,2024,2.86143825839217,,,
SAU,2000,5.90982007980347,4.2115941,3.03455424,
SAU,2001,7.71887016296387,4.46173573,3.23656511,
SAU,2002,7.63688993453979,4.2493763,3.07290077,
SAU,2003,7.10509014129639,3.97909737,2.87984729,
SAU,2004,6.27747011184692,3.58400965,2.56183243,
SAU,2005,5.43093013763428,3.4186728,2.47836709,
SAU,2006,5.89117002487183,3.61922002,2.64138937,
SAU,2007,,3.56229162,2.5073967,
SAU,2008,5.13781023025513,2.97100711,1.88940501,
SAU,2009,,4.29042768,2.78823733,
SAU,2010,,3.64786148,2.2592144,
SAU,2011,,3.68218255,2.46959376,
SAU,2012,,3.98779845,2.72299576,
SAU,2013,,4.42293596,3.07811379,
SAU,2014,,5.15800905,3.68119621,
SAU,2015,,5.8620224,4.01395369,
SAU,2016,,6.24142838,4.34350872,
SAU,2017,,6.03126049,4.33328104,
SAU,2018,,5.34063101,3.75438356,
SAU,2019,,5.46743011,4.03419542,
SAU,2020,,6.64630127,5.20342541,
SAU,2021,,5.93033648,4.5653944,
SAU,2022,,5.31400585,4.09908247,
SAU,2023,4.48087978363037,5.68722248,4.42276096,
SDN,2000,1.01217997074127,3.60664487,1.21998167,
SDN,2001,,3.36456871,1.1215229,
SDN,2002,1.16425001621246,3.30010891,1.128654,
SDN,2003,,3.89187932,1.26332223,
SDN,2004,1.31254994869232,4.15593481,1.57302713,
SDN,2005,1.17842996120453,4.09418154,1.59963596,
SDN,2006,1.55353999137878,4.88544321,1.77735722,
SDN,2007,,5.66269159,2.0494504,
SDN,2008,1.85150003433227,5.42313576,1.73194993,
SDN,2009,2.02213001251221,6.39496326,2.6293633,7.44815552491968
SDN,2010,,5.05810165,1.64626622,
SDN,2011,,5.61579561,1.28281784,
SDN,2012,,5.68827009,1.49337018,
SDN,2013,,6.96487474,1.15195048,
SDN,2014,,5.67619705,1.43453598,
SDN,2015,,5.81112576,0.82485694,
SDN,2016,,5.68438482,1.28979421,
SDN,2017,,5.91767406,1.06663251,
SDN,2018,,4.46172857,1.03874981,
SDN,2019,,4.59967566,1.03735721,
SDN,2020,,3.04323435,1.04006422,
SDN,2021,,2.9669323,0.77320933,
SDN,2022,,3.79416442,0.82583225,
SDN,2023,,2.85165739,0.59154689,
SEN,2000,2.46335005760193,3.55015373,1.25274444,
SEN,2001,2.47150993347168,3.68148756,1.415766,
SEN,2002,2.59441995620727,3.95294404,1.33993769,
SEN,2003,2.75125002861023,4.29703569,1.54446924,
SEN,2004,3.07778000831604,4.56856203,1.62704813,
SEN,2005,4.06443023681641,3.67466521,1.59510648,
SEN,2006,3.82138991355896,3.76337624,1.7594533,
SEN,2007,,3.41496587,1.31880546,
SEN,2008,4.02568006515503,3.50687575,1.3871423,
SEN,2009,4.92072010040283,3.841573,1.40655613,
SEN,2010,0.544770002365112,4.02764368,1.16160142,
SEN,2011,4.90302991867065,4.21416712,1.30861914,16.7866192230754
SEN,2012,4.77698993682861,4.26688004,1.21922708,
SEN,2013,5.68656015396118,4.38573599,1.17077053,
SEN,2014,5.72907018661499,4.38962269,1.080037,
SEN,2015,5.45634984970093,4.37789631,1.07820702,
SEN,2016,5.11309003829956,4.25606871,1.06801915,
SEN,2017,4.74007987976074,4.16359377,1.01061249,
SEN,2018,5.11019992828369,4.43182087,1.11893904,30.0823426708228
SEN,2019,5.03525018692017,4.49531031,1.05768847,
SEN,2020,5.6869797706604,5.15119171,1.72161877,
SEN,2021,5.61201000213623,4.44256258,1.20091772,33.8952955108212
SEN,2022,5.95222997665405,4.0444808,1.08714914,
SEN,2023,6.16277045366329,4.32314825,1.1920532,
SGP,2000,3.32129001617432,3.343364,1.21474111,
SGP,2001,3.54250001907349,3.16302657,0.88201147,
SGP,2002,3.87852001190186,3.358464,1.05214119,
SGP,2003,3.98194003105164,3.60699272,1.3372829,
SGP,2004,3.65276002883911,3.15019798,1.02267361,
SGP,2005,3.19596004486084,3.03367925,1.00069571,
SGP,2006,2.85911989212036,2.9347465,0.99547803,
SGP,2007,2.94673991203308,2.83749056,0.95031685,
SGP,2008,2.76460003852844,3.19488454,1.19189203,
SGP,2009,3.01012992858887,3.39370513,1.18541074,
SGP,2010,3.08044004440308,3.1982615,1.14910603,
SGP,2011,3.03077006340027,3.1539185,1.17214501,
SGP,2012,3.07084989547729,3.32392788,1.30787134,
SGP,2013,2.85435009002686,3.68225336,1.53696907,
SGP,2014,3.01358665503678,3.87132597,1.74364483,
SGP,2015,2.99161870509909,4.18061399,1.96816146,
SGP,2016,2.94466258946576,4.37989521,2.07529497,
SGP,2017,2.87916382421742,4.35978413,2.10866928,
SGP,2018,2.85314011573792,4.07275724,2.04126763,
SGP,2019,2.72783994674683,4.40746737,2.2847712,
SGP,2020,2.69227004051208,5.70015287,3.41540074,
SGP,2021,2.82732009887695,5.14599705,3.13151574,
SGP,2022,2.47478008270264,4.33121586,2.60371685,
SGP,2023,2.1037700176239,4.49163246,2.62583375,
SGP,2024,2.19099857819757,,,
SLB,2000,,4.82778931,4.44415522,
SLB,2001,,6.60712814,6.02517366,
SLB,2002,,10.10627556,5.73763466,
SLB,2003,,7.07724714,5.23841286,
SLB,2004,,7.72556639,4.88922024,
SLB,2005,,9.01794529,6.40079355,1.66450777565671
SLB,2006,,8.00802231,5.25133944,
SLB,2007,7.33327007293701,7.18583059,4.962358,
SLB,2008,6.89515018463135,5.50656271,3.15582204,
SLB,2009,6.6585898399353,6.6096673,3.10495329,
SLB,2010,7.47837018966675,4.66862011,2.94911718,
SLB,2011,,5.03008652,2.87079024,
SLB,2012,,4.88045692,2.94720888,
SLB,2013,,4.58030891,2.77344251,
SLB,2014,,4.88962364,2.9565556,
SLB,2015,,4.45310211,3.06908107,
SLB,2016,,4.52952909,3.15399909,
SLB,2017,,4.16556406,3.09555912,
SLB,2018,,3.86440825,2.96293306,
SLB,2019,,4.43728065,3.25913024,
SLB,2020,9.64354620369343,4.89478445,3.62380624,
SLB,2021,8.33232704380039,4.94795895,3.45109582,
SLB,2022,8.48737829731105,4.82418394,3.32158995,
SLB,2023,8.29349080062944,5.36366177,3.3744123,
SLE,2000,4.94936990737915,5.29086494,0.56016588,
SLE,2001,2.22618007659912,5.22183514,0.65394258,
SLE,2002,2.29766988754273,5.55388832,0.68559587,
SLE,2003,2.10887002944946,5.06219816,0.63837194,
SLE,2004,2.01167011260986,5.23798943,0.60742605,
SLE,2005,1.81370997428894,5.23005009,0.59220541,
SLE,2006,,5.29913139,0.54349309,
SLE,2007,1.52012002468109,5.31662989,0.4417356,
SLE,2008,1.4541300535202,5.60332584,0.45621169,
SLE,2009,1.72441005706787,6.27075481,0.63343221,
SLE,2010,1.56553995609283,5.64204741,0.81356823,
SLE,2011,1.61538004875183,6.60636759,0.70601135,30.1557655033465
SLE,2012,1.77787005901337,5.92764187,0.6394307,
SLE,2013,1.56069004535675,8.45845032,0.58837235,
SLE,2014,1.73754000663757,15.11886978,1.02695739,
SLE,2015,3.21786273563993,12.3831234,0.81068116,
SLE,2016,1.84832000732422,10.05438519,0.66393304,
SLE,2017,3.0150101184845,6.00532055,0.54366273,
SLE,2018,4.46809005737305,5.29927444,0.49137551,18.1065023607469
SLE,2019,4.65177011489868,5.7052846,0.77659142,
SLE,2020,5.34702014923096,5.66489744,0.82859242,
SLE,2021,5.59322023391724,5.07244635,1.14799988,
SLE,2022,4.90762996673584,4.80377436,0.8699919,
SLE,2023,2.62455277942046,4.71883011,0.78892416,
SLV,2000,2.8386800289154,7.84342813,3.94314837,
SLV,2001,,7.88604879,3.83341885,
SLV,2002,3.242840051651,7.88565731,4.00326157,
SLV,2003,3.13467001914978,7.77182293,3.88919258,
SLV,2004,,8.1302166,4.01650906,
SLV,2005,3.17785000801086,9.20057869,4.2482481,
SLV,2006,3.49298000335693,8.69338894,4.52057076,
SLV,2007,3.60984992980957,8.47836304,4.1049161,34.9132919031063
SLV,2008,4.45810985565185,8.49585915,4.0889926,39.6679690006981
SLV,2009,4.65950012207031,8.83749676,4.10507488,48.2000725714032
SLV,2010,4.04807996749878,8.90416241,4.37232924,62.3365252518299
SLV,2011,3.89854001998901,8.87645435,4.79892349,58.0517698908394
SLV,2012,3.7124400138855,8.60625362,4.45448637,89.6023523544764
SLV,2013,3.80149006843567,9.05235958,4.76325369,
SLV,2014,3.82416009902954,8.5989418,4.68769121,58.0928985930572
SLV,2015,3.90987992286682,8.75833225,4.80888462,89.1110596332799
SLV,2016,3.82523989677429,8.71456337,4.84736443,89.4105008563483
SLV,2017,3.7252299785614,8.42286873,4.58291912,84.5888709798039
SLV,2018,3.60575008392334,8.322752,4.54387665,82.7902896913857
SLV,2019,3.38710999488831,8.80846119,4.71487188,85.4959658784349
SLV,2020,3.66088008880615,8.95105076,5.7965498,
SLV,2021,3.57766008377075,10.12668991,6.41989136,87.0546094845645
SLV,2022,3.26848006248474,9.82036304,6.12128019,88.7522565068878
SLV,2023,3.18734002113342,9.28738594,5.62305593,
SLV,2024,3.31666994094849,,,
SMR,2000,,5.7876792,4.30573463,
SMR,2001,,5.64127541,4.26485729,
SMR,2002,,5.39155769,4.03321981,
SMR,2003,,4.77200127,3.63807321,
SMR,2004,,4.86479282,3.74707913,
SMR,2005,,4.88683653,3.81809044,
SMR,2006,,4.91361904,3.87701797,
SMR,2007,,5.09587288,4.07534981,
SMR,2008,,5.41110897,4.34516525,
SMR,2009,,6.18409586,5.0,
SMR,2010,2.62883996963501,6.20853519,5.35588455,
SMR,2011,2.70296001434326,8.0707283,7.16314268,
SMR,2012,,8.98883724,7.96990728,
SMR,2013,3.26723534651899,8.23800278,7.33665133,
SMR,2014,3.19357628015873,8.30091763,7.30673313,
SMR,2015,3.11914279579368,8.43315315,7.28606033,
SMR,2016,3.02697977142855,8.4219532,7.38052702,
SMR,2017,3.36997008323669,8.25972271,7.23664856,
SMR,2018,3.55516004562378,8.2778492,7.35798597,
SMR,2019,3.37969994544983,8.14801598,7.23374033,
SMR,2020,3.4246199131012,8.48147392,7.61165524,
SMR,2021,3.10892009735107,7.51272249,6.62202978,
SMR,2022,2.89753007888794,7.22336292,6.39732409,
SMR,2023,,6.60829115,5.74314785,
SOM,2013,,3.36953735,0.13704211,
SOM,2014,,3.02053761,0.10548612,
SOM,2015,,2.94074512,0.09905031,
SOM,2016,,2.2842648,0.10706647,
SOM,2017,,2.44348097,0.13631769,8.20527688482012
SOM,2018,4.00990834307e-06,2.50873256,0.13900605,
SOM,2019,5.73281247182e-06,2.40617251,0.15007043,
SOM,2020,6.12054361034e-06,2.47010517,0.2304647,
SOM,2021,6.75308344309e-06,2.73509169,0.34554738,
SOM,2022,7.21674775437e-06,2.8469162,0.31191349,
SOM,2023,8.14262404011e-06,3.74413586,0.5303756,
SRB,2000,,5.80770588,3.79907131,
SRB,2001,,6.19155836,4.13802195,
SRB,2002,,7.24950886,5.23220444,
SRB,2003,,7.30602598,5.10396385,
SRB,2004,,7.63644934,5.18188715,
SRB,2005,,8.09346867,5.29795027,
SRB,2006,,8.28575706,5.1782732,
SRB,2007,4.04881000518799,9.01782608,5.50259209,62.0398375208164
SRB,2008,,9.12807178,5.64826584,
SRB,2009,4.3127498626709,8.98933506,5.54193211,
SRB,2010,,9.15153027,5.58281469,65.0575231841413
SRB,2011,4.0735502243042,8.75940418,5.3538456,
SRB,2012,,8.95716667,5.56388712,
SRB,2013,,8.93188286,5.34662533,63.1796282326637
SRB,2014,,8.85966778,5.1614337,
SRB,2015,,8.46289921,4.88180637,61.0367943043726
SRB,2016,3.50275993347168,8.15184307,4.69370461,
SRB,2017,3.56539011001587,7.89965153,4.5406208,
SRB,2018,3.43663001060486,8.18469906,4.85909271,60.9909432743248
SRB,2019,3.45865988731384,8.28762531,4.83578539,61.5932617778255
SRB,2020,,8.30643559,5.06347847,
SRB,2021,3.14615988731384,9.23441029,6.04116869,63.0908976248886
SRB,2022,3.08255004882812,8.58397198,5.77386618,62.5253545273819
SRB,2023,3.40377998352051,8.03133774,5.26416254,
SSA,2000,2.64547991752625,4.90328861242148,1.59211407835298,
SSA,2001,2.68735003471375,4.90981890674477,1.57278196591149,
SSA,2002,2.7024450302124,4.44837584385725,1.38873159440337,
SSA,2003,2.75125002861023,5.41013559502036,1.78141564163849,
SSA,2004,2.91176009178162,5.40945242651593,1.86346923085684,
SSA,2005,2.91943001747131,5.23522052625765,1.80053026689892,
SSA,2006,2.83097004890442,5.1446801173195,1.84424939252862,
SSA,2007,,5.04275785085972,1.82834577749612,
SSA,2008,2.75404500961303,4.83765957169523,1.71898708025187,
SSA,2009,,5.23873809876384,1.93647729681027,
SSA,2010,3.0189299583435,5.15869064013828,1.93777134454097,
SSA,2011,3.07756006717681,5.10159577422318,1.9408870512072,
SSA,2012,3.1868200302124,4.92952458693269,1.86837387716051,
SSA,2013,3.51317501068116,4.92477766891396,1.75059234143651,
SSA,2014,3.31992995738984,4.72055267817927,1.70724656542628,
SSA,2015,3.49412989616394,4.9665577222449,1.80892300930113,
SSA,2016,3.12050497531891,5.06546494398196,1.85655644830687,
SSA,2017,3.53362989425659,5.05092923103056,1.97930444563868,
SSA,2018,3.32295989990234,4.7381331050621,1.91859393806417,
SSA,2019,3.24268818288225,4.55316332987647,1.76979786673395,
SSA,2020,3.39874087928788,4.94308589748073,2.05566955901112,
SSA,2021,3.25544539195647,5.17335513399429,2.09126174512403,
SSA,2022,3.08249624893127,5.03237754984377,1.96081711611402,
SSA,2023,3.29929215701724,5.06491625592637,2.01182209423312,
SSD,2009,,,,6.2415080075841
SSD,2010,1.04533007934585,,,
SSD,2011,0.962890028953552,,,
SSD,2012,1.57674938085481,,,
SSD,2013,1.02450001239777,,,
SSD,2014,1.23246002197266,,,
SSD,2015,1.46555995941162,,,
SSD,2016,1.56539228959694,,,
SSD,2017,,22.11322403,1.86679733,
SSD,2018,,11.69539356,1.18756998,
SSD,2019,,9.06570053,0.99254191,
SSD,2020,,9.35116673,0.70622033,
SSD,2021,,6.30117083,0.92913347,
SSD,2022,,6.57254314,0.62561053,
SSD,2023,,11.61002254,0.50114346,
SSF,2000,2.64609491825104,4.89210703053956,1.59971182310084,
SSF,2001,2.707200050354,4.90534830473164,1.58559553304878,
SSF,2002,2.81047010421753,4.45270466556754,1.40503030219138,
SSF,2003,,5.40139841379027,1.79238374865562,
SSF,2004,2.91176009178162,5.39227172095903,1.85805876178009,
SSF,2005,2.91943001747131,5.21706322418566,1.80160996952498,
SSF,2006,2.92044496536255,5.13291707106771,1.83459812480491,
SSF,2007,,5.04082896708838,1.82081045021539,
SSF,2008,2.77728009223938,4.82482972438106,1.6939589970772,
SSF,2009,3.1165601015091,5.2217779015358,1.90935568687752,
SSF,2010,3.07808995246887,5.16452045702776,1.91807765043175,
SSF,2011,3.07762002944946,5.08873463890682,1.91106655444835,
SSF,2012,3.28166997432708,4.91981159126515,1.84930804085434,
SSF,2013,3.56775999069214,4.90179423157196,1.73447604817953,
SSF,2014,3.32569003105164,4.70009330149693,1.67907468179625,
SSF,2015,3.57062995433808,4.92348638335971,1.77872780417535,
SSF,2016,3.28257989883423,4.9993387548547,1.81506366441835,
SSF,2017,3.53460991382599,4.9771165926508,1.92934964523646,
SSF,2018,3.38626492023468,4.67113624517035,1.86627670525744,
SSF,2019,3.24716413970868,4.493857439856,1.72415986929233,
SSF,2020,3.40395039640257,4.86759889049985,2.00156621911709,
SSF,2021,3.31281536274069,5.07287182325784,2.03553660948891,
SSF,2022,3.0972642678305,4.914331492401,1.89488845549503,
SSF,2023,3.25853222146531,4.91844873230529,1.92287465650656,
SST,2000,4.52924489974975,5.00269246151725,2.99453801238955,
SST,2001,3.95586001873016,4.95635268195477,2.94306731089733,
SST,2002,3.9919399023056,5.276404125534,3.15042236919421,
SST,2003,4.81445002555847,5.37566436783327,3.27069851941695,
SST,2004,5.1386399269104,5.42150705919103,3.24924085029758,
SST,2005,5.5480101108551,5.45418113434391,3.30333853847511,
SST,2006,6.33027982711792,5.27084046702917,3.13216693083592,
SST,2007,4.6196699142456,5.26184813737037,3.1856270535795,
SST,2008,6.61812019348145,5.30828915062957,3.13789023644989,
SST,2009,6.47135019302368,5.93038922395744,3.46523470274977,
SST,2010,5.81795501708984,5.75818973051181,3.35519459178945,
SST,2011,5.75778007507324,5.57325398074681,3.27505178752281,
SST,2012,4.67340993881226,5.55342637252816,3.27598940377778,
SST,2013,4.93234006249108,5.70963390498864,3.38590247168547,
SST,2014,4.81514978408813,5.82370736418587,3.42737600385757,
SST,2015,5.05127000808716,6.05224375446595,3.60779481094837,
SST,2016,5.05511999130249,6.27712293907752,3.8120088209034,
SST,2017,4.87887001037598,6.29114913767488,3.87891445041226,
SST,2018,4.90705490112305,6.3287002516318,3.8994784045878,
SST,2019,4.85244011878967,6.48855042141472,4.09094171735636,
SST,2020,4.83895129079956,7.4621161463999,5.02943624955905,
SST,2021,4.87699508666992,7.38388524979858,4.98295839343789,37.8423881530762
SST,2022,4.84085988998413,6.66220434688589,4.48971737242917,
SST,2023,4.78955296464152,6.76810941964699,4.6014566283493,
STP,2000,,9.31892776,3.51259375,
STP,2001,,9.64001942,3.70773029,
STP,2002,2.72058010101318,9.49860477,3.77630806,
STP,2003,3.24692988395691,11.46527386,6.05494833,
STP,2004,3.23470997810364,10.7211771,5.18779802,
STP,2005,4.85645008087158,10.35199738,5.03137016,
STP,2006,4.27118015289307,7.10559654,0.54927838,
STP,2007,6.28682994842529,7.00608587,1.6642518,
STP,2008,5.5544900894165,5.97009039,1.22298861,
STP,2009,9.99429035186768,5.75177002,1.5904156,
STP,2010,9.9882698059082,5.80827904,2.11927414,
STP,2011,8.79410245042467,5.65160036,2.29882646,
STP,2012,6.92846012115479,7.07299662,2.30571485,
STP,2013,6.68509006500244,8.94060898,2.99635077,
STP,2014,4.4321699142456,7.91452122,2.79643965,
STP,2015,4.69794988632202,6.53226852,2.0531044,
STP,2016,6.11515998840332,7.60211611,3.06470799,
STP,2017,5.87489986419678,7.46631384,3.43653798,16.1008986450882
STP,2018,5.62454986572266,5.91960287,2.62429023,
STP,2019,6.10573891896978,5.48078823,2.23238039,
STP,2020,5.02931173372591,7.32044411,2.96807909,
STP,2021,5.53985041124283,7.85889721,3.36913323,
STP,2022,5.19392101712613,5.7744813,2.31201935,
STP,2023,5.0288576428727,5.77292156,2.13394833,
SUR,2000,,5.87092161,2.84068179,
SUR,2001,,3.82474971,1.85921216,
SUR,2002,,5.32991552,2.45871258,
SUR,2003,,4.88878393,2.13772202,
SUR,2004,,5.4608078,2.43031907,
SUR,2005,,5.2439642,2.36262965,
SUR,2006,,5.85598755,2.71723485,
SUR,2007,,5.22148609,2.58420277,
SUR,2008,,4.74699593,2.09781647,
SUR,2009,,4.97810316,2.28777623,
SUR,2010,,4.6978569,1.9906764,
SUR,2011,,4.40932178,1.79151595,
SUR,2012,,4.28435707,1.75651753,
SUR,2013,,4.48738098,1.88953507,
SUR,2014,,4.52127838,1.87637579,
SUR,2015,5.53479610522553,5.80808163,3.16422224,
SUR,2016,5.64051904970974,5.99283743,3.71001315,
SUR,2017,5.45861311514349,5.32285929,3.09932327,
SUR,2018,4.92259355761269,6.60567093,4.47947168,
SUR,2019,6.77857289012664,8.38353634,6.09356403,
SUR,2020,4.58425708265782,6.03425598,4.03236008,
SUR,2021,4.13154972947739,5.01704168,3.27092934,
SUR,2022,3.43460841988051,5.93297768,4.15005636,
SUR,2023,2.86623341491363,5.40666008,3.3523376,
SVK,2000,3.86823010444641,5.30743933,4.64339685,
SVK,2001,3.94236993789673,5.34054947,4.70686579,
SVK,2002,4.25193023681641,5.51793909,4.85240364,
SVK,2003,4.23699998855591,5.48400879,4.77106667,
SVK,2004,4.11747980117798,6.39662457,5.03513718,
SVK,2005,3.77565002441406,6.61619043,4.97108793,
SVK,2006,3.70850992202759,6.8522706,4.77396774,
SVK,2007,3.52223992347717,7.17538357,4.93091011,
SVK,2008,3.52339005470276,6.95978355,5.20061636,
SVK,2009,4.00893020629883,7.95280409,5.69731617,88.6191052068376
SVK,2010,4.04704999923706,7.67065239,5.44594288,
SVK,2011,3.90686988830566,7.31452227,5.2743578,
SVK,2012,3.85490989685059,7.52780581,5.3540163,
SVK,2013,4.06078004837036,7.48013163,5.48396778,
SVK,2014,4.20446014404297,6.86543369,5.44664001,
SVK,2015,4.56416988372803,6.74109745,5.30798721,
SVK,2016,3.88375997543335,7.06081343,5.6462183,
SVK,2017,3.91876006126404,6.73388767,5.32285929,
SVK,2018,3.93534994125366,6.63677502,5.25731754,
SVK,2019,4.26779985427856,6.91102982,5.44698572,
SVK,2020,4.720290184021,7.06027794,5.66738129,
SVK,2021,4.71766996383667,7.62857914,6.08261681,
SVK,2022,4.65688991546631,7.70245218,6.15263939,
SVK,2023,,7.35262203,5.80455589,
