iso_alpha3,year,employment_share_agriculture,employment_share_industry,employment_share_services,employment_to_pop_ratio,gdp_growth_pct,gdp_per_capita_usd,gdp_per_person_employed,gini_index,govt_expenditure_pct_gdp,inflation_cpi_pct,labor_force_participation,rd_expenditure_pct_gdp,trade_openness_pct_gdp,unemployment_rate
SUR,2015,7.72101637366184,25.3981170990417,66.8808665272965,51.55,-3.41304268067621,8813.61705392067,63454.8616987805,,,6.89390359168238,55.561,,,7.22
SUR,2016,7.6822426473964,25.5612586886059,66.7564986639977,51.672,-4.91166050905851,5644.2061057532,59232.312416997,,,55.4123879763196,56.115,,,7.917
SUR,2017,7.67639259690921,25.63751598025,66.6865431613565,51.7,1.56603782534897,6049.52128553675,59194.0538938199,,,21.9969430173304,56.138,,,7.905
SUR,2018,7.48000425630021,25.9824959653821,66.5374997783177,51.901,4.94827108468886,6665.74180472239,60971.0092095587,,,,56.302,,,7.817
SUR,2019,7.43287763285931,25.8854741655794,66.681211846176,51.941,1.16758977233877,6629.66775248603,60708.0150618,,,,56.308,,,7.755
SUR,2020,7.56079841286104,26.0946508573717,66.3445507297672,47.928,-15.9751917148622,4755.39221710693,54441.8198866423,,,34.889784309078,52.653,,,8.973
SUR,2021,7.38375492333422,26.3156463448351,66.3005987318307,48.609,-2.43538583612838,5029.84838543953,51693.8670148933,,,59.1196626251977,53.245,,,8.706
SUR,2022,7.3069448072215,26.392658081025,66.3003971117535,49.152,2.40622235601218,6084.43876736445,51707.7980671095,39.2,,52.446027276241,53.411,,,7.973
SUR,2023,7.2091276543092,26.1490971766963,66.6417751689945,49.458,2.41659223498058,5521.97602122638,51933.3164639417,,,51.5873159600861,53.583,,,7.699
SUR,2024,7.09277594738704,26.1227777801457,66.7848724954074,49.732,1.72095737011739,6961.78955961526,51861.8052786701,,,16.2296159130279,53.835,,,7.621
SUR,2025,6.97515444080613,26.1034500219424,66.9213955372514,49.606,,,,,,,53.823,,,7.834
SVK,2000,8.12014476581287,37.5946281005512,54.2852271336359,48.597,0.78922447792516,5421.6448441887,47000.8824750528,,52.1902129851671,12.0357805974299,59.662,0.63865,108.939262958746,18.546
SVK,2001,7.52862836718287,37.9658950658056,54.5054765670115,48.672,2.92516077248489,5712.47802761654,48004.2682713041,,43.8308376763311,7.3296201911553,60.199,0.62571,121.931131222912,19.148
SVK,2002,7.56717478754097,38.6840288901321,53.7487963223269,48.815,4.41725348271514,6554.62808369461,49617.1082031998,,44.2036122962049,3.12714222984608,59.926,0.564,120.599168045888,18.541
SVK,2003,7.11460866555546,38.6298057217805,54.2555856126641,49.721,4.85669851591319,8675.39633696465,50755.6217424908,,39.7068446195437,8.55414305406645,60.304,0.56511,125.998506220804,17.549
SVK,2004,6.2494561528689,39.3869434554696,54.3636003916615,49.135,5.38949856996771,10650.1290097126,53801.7965246882,27.1,37.2826789817952,7.54850088183423,60.072,0.50263,140.222460021585,18.206
SVK,2005,5.86699553218101,39.1442695199106,54.9887349479084,49.785,6.48493222274386,11641.5410321763,56223.0265000902,29.3,38.5685975641289,2.70908494588384,59.463,0.49537,148.705461161746,16.276
SVK,2006,5.43301755601233,39.1691221645743,55.3978602794133,51.151,8.92568704770216,13167.8954730379,59289.1256744644,25.8,36.9739601689895,4.48333120449611,59.062,0.47498,164.992205726236,13.395
SVK,2007,5.21929399935117,39.7217508870443,55.0589551136045,52.169,10.8186295074904,16110.4817265237,64102.5336841246,24.7,34.8508787281228,2.7567237163814,58.722,0.44734,166.580025216882,11.16
SVK,2008,4.95102900274508,39.9866845359754,55.0623276601162,53.545,5.36337721231949,18744.3192278346,65501.0127826146,26.0,34.8379095855697,4.59817976325028,59.175,0.4616,162.464472991641,9.514
SVK,2009,4.49698983158212,37.8676717873444,57.6353383810734,51.644,-5.50533790972226,16586.7527805228,63941.284315038,27.2,41.9431939116331,1.61510464058238,58.702,0.47302,136.714352092364,12.023
SVK,2010,4.06220110698214,37.0527166707608,58.8851257767952,50.37,6.79058159142423,16899.448680529,69884.3628276132,27.3,39.5145792054508,0.957018132975143,58.835,0.60583,155.108497681586,14.387
SVK,2011,3.93055271604906,37.6528912502081,58.4165560337428,50.784,2.56242473215553,18469.4354316836,70970.1496871489,26.5,39.0601443681058,3.9192859914629,58.801,0.65398,169.178076311066,13.634
SVK,2012,4.06870382426553,37.4956841094493,58.4356550104698,50.917,1.56917104702706,17516.9691054078,71738.2485917293,26.1,39.1325775702987,3.6061026352289,59.183,0.79377,176.968958181431,13.966
SVK,2013,4.15164959707926,35.7887790537066,60.0596143113873,50.82,0.703323545247201,18312.7805149823,72268.5780987573,28.1,40.0242603858589,1.40047368963025,59.248,0.8184,180.903136491458,14.226
SVK,2014,3.98532183634565,36.0591876867707,59.9554904768836,52.89,2.70795151449488,18770.9289896545,71236.8006574997,26.1,40.0498953140123,-0.0761653295419871,59.787,0.87462,176.756316098132,11.536
SVK,2015,3.89867467606014,36.124440142818,59.9768851811218,52.773,5.17687909722133,16442.0760860018,75024.0726689497,26.5,40.6783469163369,-0.325219777427673,59.625,1.15366,179.42602289503,11.492
SVK,2016,3.46918952849452,36.5348934311368,59.9959170403687,54.2,1.94781841524558,16636.0769133073,74439.8129566637,25.2,40.3193736538256,-0.520010196278266,60.008,0.78513,182.757379596201,9.679
SVK,2017,3.41180485827138,37.1353445736422,59.4528109746634,55.017,2.87473327453695,17645.5298716761,75449.1474894099,23.2,37.0392854927539,1.31194588223228,59.893,0.88153,186.644687399549,8.142
SVK,2018,2.90419290239723,36.5154135323671,60.5803935652357,55.819,4.06211981896483,19573.3717031314,77409.0458034258,25.0,37.1287832002824,2.51403712883812,59.727,0.83184,188.732964699496,6.544
SVK,2019,3.51100646936997,36.0562270354835,60.4327664951465,56.125,2.27589910019393,19406.0589683582,78732.8431113351,23.2,38.0979921157923,2.66456133425431,59.556,0.82138,183.722608631236,5.761
SVK,2020,3.25797007672715,36.5259235646567,60.2161063586162,54.948,-2.58551241733207,19735.4858280801,78329.169221545,24.2,42.1100121910824,1.93694126694223,58.906,0.88944,167.534173320366,6.719
SVK,2021,3.21457019174198,36.4815839348298,60.3038458734282,56.051,5.6558588065555,22123.3342114545,81372.3569348175,24.1,42.3958276665658,3.14960629921268,60.201,0.90093,181.97948448512,6.894
SVK,2022,2.54042690202466,35.8416257883672,61.6179851891134,57.4,0.544591632137454,21317.7943982363,80160.8382196868,24.1,39.7740575217895,12.7741463637611,61.157,0.97686,204.056318531151,6.143
SVK,2023,3.12353260529978,34.6834393505543,62.193028044146,57.597,2.11263633214959,24614.8734642794,81590.2938138641,23.8,,10.5319476645211,61.172,1.03359,181.39087235645,5.843
SVK,2024,2.24150286688617,34.9500644366084,62.8083952551293,57.576,1.93867445549446,25992.6748502048,83129.7786288092,,,2.75760909424272,60.798,,171.212800151635,5.3
SVK,2025,2.16304803036499,34.5282254388159,63.3086886994208,57.184,,,,,,,60.422,,,5.359
SVN,2000,8.73455865587095,33.6188743187478,57.6465670253813,53.576,3.49791942086068,10135.7219109212,66744.1684552138,,,8.91174418658769,57.557,1.36862,104.620348581459,6.918
SVN,2001,9.06672929251002,34.5688101453866,56.3644605621033,54.506,2.82868479430465,10375.6255869861,67062.7191542864,,,8.37966587492204,57.789,1.4824,105.583223530684,5.682
SVN,2002,8.81483023022354,34.5900325964009,56.5951371733755,54.919,3.28258371393918,11639.1297780477,68355.7742394775,29.1,44.6270962929415,7.48077770703754,58.377,1.46036,104.880458289416,5.922
SVN,2003,7.65560444858696,32.9834661073531,59.3610405365322,53.038,3.19503117236037,14711.674874253,72664.4456936097,30.9,44.4229734423929,5.54416421752901,56.712,1.25957,103.280027127626,6.479
SVN,2004,8.88952506309217,32.3216754997459,58.7887994371619,55.539,4.54602214352336,17103.8297783905,72229.1006199138,24.8,43.6902957275516,3.59297594249509,59.091,1.38062,112.399933466762,6.012
SVN,2005,8.27819136447815,32.9709492630717,58.7508593724502,55.481,3.8541277114569,17969.7095907161,74758.5788865177,24.6,43.9831561458944,2.45150132316475,59.342,1.42797,121.127284217914,6.506
SVN,2006,8.69875096882513,31.493310171573,59.8079388596019,55.928,5.90878130011174,19563.005059144,78125.1836651939,24.4,42.5094777219212,2.45792444195865,59.466,1.54569,130.517913086158,5.95
SVN,2007,8.97745807622578,31.2567329672351,59.7659100142087,57.097,7.1392312914716,23725.1596001515,81408.2319768331,24.4,39.9951581291865,3.65749563284099,59.987,1.43261,137.66309435102,4.818
SVN,2008,8.66297599389684,31.1206026871979,60.2164213189052,57.17,3.37223866114127,27461.9764165315,83911.4645114207,23.7,41.1003969206339,5.64742380573935,59.783,1.63465,135.387093664802,4.371
SVN,2009,9.17235490538713,29.2762036387766,61.5514414558363,56.149,-7.59058614046387,24501.7897290425,78314.4890679544,24.8,46.3540530961616,0.839262246793887,59.643,1.83331,114.482301023638,5.858
